Nombre del archhivo, Tamaño, Fecha de ultima modificacion
D:\Colección BCRA\usuarios\alumno\escritorio\Nueva carpeta (3)\tl1-tp9-2025-fran-tn\.gitignore, 7754, 14-06-2025
D:\Colección BCRA\usuarios\alumno\escritorio\Nueva carpeta (3)\tl1-tp9-2025-fran-tn\reporte_archivos.csv, 0, 14-06-2025
Nombre del archhivo, Tamaño, Fecha de ultima modificacion
D:\Colección BCRA\usuarios\alumno\escritorio\Nueva carpeta (3)\tl1-tp9-2025-fran-tn\.gitignore, 7754, 14-06-2025
D:\Colección BCRA\usuarios\alumno\escritorio\Nueva carpeta (3)\tl1-tp9-2025-fran-tn\reporte_archivos.csv, 297, 14-06-2025
